text,category
"Every relativistic particle has 4-speed equal to $c$, since $g_{μν} \frac{dx^μ}{dτ} \frac{dx^ν}{dτ} = c^2$. With the choice of $k = +1$ in the FRW metric, the cosmological scale factor $a(t)$ has the natural interpretation of the radius of the sphere $S^3_a = \{x \in \mathbb{R}^4 : (x, x) = a^2\}$. Thus, a particle at rest in the cosmological frame has 4-speed equal to $\frac{da}{dt}$. This leads us to infer that $\dot a = c$, which respresents a simple kinematic constraint linking the speed of ",astronomy
"The WZB Berlin Social Science Center (German: Wissenschaftszentrum Berlin für Sozialforschung, WZB), also known by its German initials WZB, is an internationally renowned research institute for the social sciences, the largest such institution in Europe not affiliated with a university. It was founded in 1969 through an all-party initiative of the German Bundestag.",social science
"In epistemology, and more specifically, the sociology of knowledge, reflexivity refers to circular relationships between cause and effect, especially as embedded in human belief structures. A reflexive relationship is multi-directional when the causes and the effects affect the reflexive agent in a layered or complex sociological relationship.",social science
"The construction of synthetic biochemical circuits is an essential step for developing quantitative understanding of information processing in natural organisms. Here, we report construction and analysis of an in vitro circuit with positive autoregulation that consists of just four synthetic DNA strands and three enzymes, bacteriophage T7 RNA polymerase, Escherichia coli ribonuclease (RNase) H, and RNase R. The modularity of the DNA switch template allowed a rational design of a synthetic DNA sw",microbiology
The history of film chronicles the development of a visual art form created using film technologies that began in the late 19th century. The advent of film as an artistic medium is not clearly defined.,history
"General Relativity assumes that spacetime is fully described by the metric alone. An alternative is the so called Palatini formalism where the metric and the connections are taken as independent quantities. The metric-affine theory of gravity has attracted considerable attention recently, since it was shown that within this framework some cosmological models, based on some generalized gravitational actions, can account for the current accelerated expansion of the universe. However we think that ",astronomy
"We applied multiresolution wavelet analysis to the sequence of times between human heartbeats (R-R intervals) and have found a scale window, between 16 and 32 heartbeats, over which the widths of the R-R wavelet coefficients fall into disjoint sets for normal and heart-failure patients. This has enabled us to correctly classify every patient in a standard data set as either belonging to the heart-failure or normal group with 100% accuracy, thereby providing a clinically significant measure of th",biology
"In this work, we analyse the relationship between heterogeneity and cooperation. Previous investigations suggest that this relation is nontrivial, as some authors found that heterogeneity sustains cooperation, while others obtained different results. Among the possible forms of heterogeneity, we focus on the individual perception of risks and rewards related to a generic event, that can show up in a number of social and biological systems. The modelling approach is based on the framework of Evol",ecology
"The cooperative management of rice terraces in Bali reveals an interesting phenomenon that stems from the feedback loop between human decisions and the ecosystem process. In particular, spatial patterning is observed, which is heavily reliant on the farmer's decision to plant crops as well as the response from the physical environment like pest damage and water shortage. A recent study proposed an evolutionary game theoretic model to infer particular power laws governing this spatial patterning ",ecology
"The antimicrobial spectrum of an antibiotic means the range of microorganisms it can kill or inhibit. Antibiotics can be divided into broad-spectrum antibiotics, extended-spectrum antibiotics and narrow-spectrum antibiotics based on their spectrum of activity.",microbiology
"In astronomy, the barycenter (or barycentre; from Ancient Greek  βαρύς (barús) 'heavy' and  κέντρον (kéntron) 'center') is the center of mass of two or more bodies that orbit one another and is the point about which the bodies orbit. A barycenter is a dynamical point, not a physical object.",astronomy
"Given that biochemical circuits can process information by using analog computation, a question is: What can biochemical circuits compute? This paper considers the problem of using biochemical circuits to distinguish persistent signals from transient ones. We define a statistical detection problem over a reaction pathway consisting of three species: an inducer, a transcription factor (TF) and a gene promoter, where the inducer can activate the TF and an active TF can bind to the gene promoter. W",microbiology
"The internal behaviour of a population is an important feature to take account of when modelling their dynamics. In line with kin selection theory, many social species tend to cluster into distinct groups in order to enhance their overall population fitness. Temporal interactions between populations are often modelled using classical mathematical models, but these sometimes fail to delve deeper into the, often uncertain, relationships within populations. Here, we introduce a stochastic framework",ecology
"Social stratification refers to a society's categorization of its people into groups based on socioeconomic factors like wealth, income, race, education, ethnicity, gender, occupation, social status, or derived power (social and political). It is a hierarchy within groups that ascribe them to different levels of privileges.",social science
"A covariant scalar-tensor-vector gravity theory is developed which allows the gravitational constant $G$, a vector field coupling $ω$ and the vector field mass $μ$ to vary with space and time. The equations of motion for a test particle lead to a modified gravitational acceleration law that can fit galaxy rotation curves and cluster data without non-baryonic dark matter. The theory is consistent with solar system observational tests. The linear evolutions of the metric, vector field and scalar f",astronomy
"As a discrete approach to genetic regulatory networks, Boolean models provide an essential qualitative description of the structure of interactions among genes and proteins. Boolean models generally assume only two possible states (expressed or not expressed) for each gene or protein in the network as well as a high level of synchronization among the various regulatory processes. In this paper, we discuss and compare two possible methods of adapting qualitative models to incorporate the continuo",microbiology
"Technicolor theories are models of physics beyond the Standard Model that address electroweak gauge symmetry breaking, the mechanism through which W and Z bosons acquire masses.  Early technicolor theories were modelled on quantum chromodynamics (QCD), the ""color"" theory of the strong nuclear force, which inspired their name.",physics
"The traffic modelling often keeps the mesoscopic scale in the theoretical sphere because the integro-differential nature of its equations. In the present work we suggest to use the lattice Boltzmann method to overcome these difficulties. In particular, the method has a strong theoretical foundation. An improved version of the lattice Boltzmann method for multi-class and heterogeneities, has been introduced here. Its ability to reproduce the fundamental diagram is proved here, for both single-cla",social science
"A classic is an outstanding example of a particular style; something of lasting worth or with a timeless quality; of the first or highest quality, class, or rank – something that exemplifies its class. The word can be an adjective (a classic car) or a noun (a classic of English literature).",literature
"In the Olympic Games, professional athletes representing their nations compete regardless of economic, political and cultural differences. In this study, we apply gravity model to observe characteristics, represented by distances among nations that directly compete against one another in the Summer Olympics. We use dyadic data consisting of medal winning nations in the Olympic Games from 1952 to 2016. To compare how the dynamics changed during and after the Cold War period, we partitioned our da",social science
"The results of a long-established investigation into pupal transpiration are used as a rudimentary data set. These data are then generalised to all temperatures and humidities by invoking the property of multiplicative separability, as well as by converting established relationships in terms of constant humidity at fixed temperature, to alternatives in terms of a calculated water loss. In this way a formulation which is a series of very simple, first order, ordinary differential equations is dev",ecology
"The modern constellation Hydrus is not included in the Three Enclosures and Twenty-Eight Mansions system of traditional Chinese uranography because its stars are too far south for observers in China to know about them prior to the introduction of Western star charts. Based on the work of Xu Guangqi and the German Jesuit missionary Johann Adam Schall von Bell in the late Ming Dynasty, this constellation has been classified under the 23 Southern Asterisms (近南極星區, Jìnnánjíxīngōu) with the names Snake's Tail (蛇尾, Shéwěi), Snake's Abdomen (蛇腹, Shéfù), Snake's Head (蛇首, Shéshǒu) and White Patched Nearby (附白, Fùbái).",astronomy
Naïve physics or folk physics is the untrained human perception of basic physical phenomena. In the field of artificial intelligence the study of naïve physics is a part of the effort to formalize the common knowledge of human beings.,physics
"The Society for American Archaeology (SAA) is a professional association for the archaeology of the Americas. It was founded in 1934 and its headquarters are in based in Washington, D.C. As of 2019, it has 7,500 members.",archaeology
"Mineral physics is the science of materials that compose the interior of planets, particularly the Earth. It overlaps with petrophysics, which focuses on whole-rock properties.",physics
"Gram-negative bacteria are bacteria that, unlike gram-positive bacteria, do not retain the crystal violet stain used in the Gram staining method of bacterial differentiation. Their defining characteristic is that their cell envelope consists of a thin peptidoglycan cell wall sandwiched between an inner (cytoplasmic) membrane and an outer membrane.",microbiology
"Below are notable events in archaeology that occurred in 1905.   == Explorations == August – The Withypool Stone Circle (late Neolithic/early Bronze Age)) on Exmoor, England, is first fully surveyed by Harold St George Gray.",archaeology
"Using the crystal basis model of the genetic code, a set of relations between the physical-chemical properties of the amino acids are derived and compared with the experimental data. A prevision for the not yet measured thermodynamical parameters of three amino acids is done.",biology
"The unifying approach to early-time and late-time universe based on phantom cosmology is proposed. We consider gravity-scalar system which contains usual potential and scalar coupling function in front of kinetic term. As a result, the possibility of phantom-non-phantom transition appears in such a way that universe could have effectively phantom equation of state at early time as well as at late time. In fact, the oscillating universe may have several phantom and non-phantom phases. As a second",astronomy
"Lectures on Theoretical Physics is a six-volume series of physics textbooks translated from Arnold Sommerfeld's classic German texts Vorlesungen über Theoretische Physik. The series includes the volumes Mechanics, Mechanics of Deformable Bodies, Electrodynamics, Optics, Thermodynamics and Statistical Mechanics, and Partial Differential Equations in Physics.",physics
"Embedding hidden sector supergravity models in the framework of string theory leads to the appearance of axion-like degrees of freedom. Among them is the model independent axion of heterotic string theory. It has a decay constant of order of the Planck scale and could play the role of a quintessence field. In models allowing for the required $μ$ term in the TeV range, the hidden sector dynamics leads to a vacuum energy of $(0.003 {\rm eV})^4$ via a multiple see-saw effect. A solution to the stro",astronomy
"Polynomial dynamical systems (DSs) can model a wide range of physical processes. A special subset of these DSs that can model chemical reactions under mass-action kinetics is called chemical dynamical systems (CDSs). A central problem in synthetic biology is to map polynomial DSs into dynamically similar CDSs. In this paper, we introduce the quasi-chemical map (QCM) that can systematically solve this problem. The QCM introduces suitable state-dependent perturbations into any given polynomial DS ",microbiology
"Expression of cellular genes is regulated by binding of transcription factors to their promoter, either activating or inhibiting transcription of a gene. Particularly interesting is the case when the expressed protein regulates its own transcription. In this paper the features of this self-regulating process are investigated. In the here presented model the gene can be in two states. Either a protein is bound to its promoter or not. The steady state distributions of protein during and at the end",microbiology
"It is shown that gravitinos with mass m_{3/2} ~ 0.1-1 MeV may provide suitable cold dark matter candidates in scenarios of gauge mediated supersymmetry breaking (GMSB) under SO(10) grand unification coupled to supergravity, which accommodate a messenger sector of mass scale M_X ~ 10^6 GeV. This is due to the combined effects of renormalizable loop-suppressed operators and generic non-renormalizable ones governing the dilution of a pre-existing equilibrium gravitino abundance via messenger decay.",astronomy
"We perform a thorough study of thermal leptogenesis adding finite temperature effects, RGE corrections, scatterings involving gauge bosons and by properly avoiding overcounting on-shell processes. Assuming hierarchical right-handed neutrinos with arbitrary abundancy, successful leptogenesis can be achieved if left-handed neutrinos are lighter than 0.15 eV and right-handed neutrinos heavier than 2 10^7 GeV (SM case, 3sigma C.L.). MSSM results are similar.   Furthermore, we study how reheating aft",astronomy
"Thermodynamics constrains the flow of matter in a reaction network to occur through routes along which the Gibbs energy decreases, implying that viable steady-state flux patterns should be void of closed reaction cycles. Identifying and removing cycles in large reaction networks can unfortunately be a highly challenging task from a computational viewpoint. We propose here a method that accomplishes it by combining a relaxation algorithm and a Monte Carlo procedure to detect loops, with ad hoc ru",microbiology
"Complex contagion phenomena, such as the spread of information or contagious diseases, often occur among the population due to higher-order interactions between individuals. Individuals who can be represented by nodes in a network may play different roles in the spreading process, and thus finding the most influential nodes in a network has become a crucial topic in network science for applications such as viral marketing, rumor suppression, and disease control. To solve the problem of identifyi",social science
"The concept of control is crucial for effectively understanding and applying biological network models. Key structural features relate to control functions through gene regulation, signaling, or metabolic mechanisms, and computational models need to encode these. Applications often focus on model-based control, such as in biomedicine or metabolic engineering. In a recent paper, the authors developed a theoretical framework of modularity in Boolean networks, which lead to a canonical semidirect p",microbiology
"This review is an introduction to theoretical models and mathematical calculations for biological evolution, aimed at physicists. The methods in the field are naturally very similar to those used in statistical physics, although the majority of publications appeared in biology journals. The review has three parts, which can be read independently. The first part deals with evolution in fitness landscapes and includes Fisher's theorem, adaptive walks, quasispecies models, effects of finite populat",biology
"We are at a stage in our evolution where we do not yet know if we will ever communicate with intelligent beings that have evolved on other planets, yet we are intelligent and curious enough to wonder about this. We find ourselves wondering about this at the very beginning of a long era in which stellar luminosity warms many planets, and by our best models, continues to provide equally good opportunities for intelligent life to evolve. By simple Bayesian reasoning, if, as we believe, intelligent ",ecology
"The ubiquity of modules in biological networks may result from an evolutionary benefit of a modular organization. For instance, modularity may increase the rate of adaptive evolution, because modules can be easily combined into new arrangements that may benefit their carrier. Conversely, modularity may emerge as a by-product of some trait. We here ask whether this last scenario may play a role in genome-scale metabolic networks that need to sustain life in one or more chemical environments. For ",microbiology
"Celtic literature is the body of literature written in one of the Celtic languages, or else it may popularly refer to literature written in other languages which is based on the traditional narratives found in early Celtic literature.   == Background == In the strictly academic context of Celtic studies, the term Celtic literature is used by Celticists to denote any number of bodies of literature written in a Celtic language, encompassing the Irish, Welsh, Cornish, Manx, Scottish Gaelic, and Breton languages in either their modern or earlier forms.",literature
"The Annie Jump Cannon Award in Astronomy is awarded annually by the American Astronomical Society (AAS) to a woman resident of North America, who is within five years of receipt of a PhD, for distinguished contributions to astronomy or for similar contributions in related sciences which have immediate application to astronomy. The awardee is invited to give a talk at an AAS meeting and is given a $1,500 honorarium.",astronomy
"We show that the heterogeneity index, which was proposed by Hu and Wang (Physica A 2008 387 3769), can be used to describe the disparity of the cooperation sharing or competition gain distributions that is very important for the cooperation/competition system dynamic understanding. An analytical relation between the distribution parameters and the heterogeneity index is derived, which is in a good agreement with the empirical results. Our theoretical and empirical analyses also show that the rel",social science
Environmental archaeology is a sub-field of archaeology which emerged in the 1970s and is the science of reconstructing the relationships between past societies and the environments they lived in. The field represents an archaeological-palaeoecological approach to studying the palaeoenvironment through the methods of human palaeoecology and other geosciences.,archaeology
"We review statistical-mechanical theories of single-molecule micromanipulation experiments on nucleic acids. First, models for describing polymer elasticity are introduced. We then review how these models are used to interpret single-molecule force-extension experiments on single-stranded and double-stranded DNA. Depending on the force and the molecules used, both smooth elastic behaviors and abrupt structural transitions are observed. Third, we show how combining the elasticity of two single nu",biology
"Gary William Evans (born November 22, 1948) is the Elizabeth Lee Vincent Professor of Human Ecology in the Cornell University College of Human Ecology. He is known for researching the mental health and physiological consequences of exposure to poverty and stress during childhood.",ecology
"In many situations, one can approximate the behavior of a quantum system, i.e. a wave function subject to a partial differential equation, by effective classical equations which are ordinary differential equations. A general method and geometrical picture is developed and shown to agree with effective action results, commonly derived through path integration, for perturbations around a harmonic oscillator ground state. The same methods are used to describe dynamical coherent states, which in tur",astronomy
"The Solar Maximum Mission satellite's Gamma Ray Spectrometer observed Earth's atmosphere for most of the period 1980-1989. Its 28deg orbit ensured that a range of geomagnetic latitudes (geomagnetic cutoff rigidities) was sampled. We measured the variation with time and rigidity of albedo gamma-ray lines at 1.6 MeV, 2.3 MeV and 4.4 MeV which are diagnostic of Galactic cosmic radiation penetrating the cutoff and of the secondary neutrons produced in the atmosphere. We found that the gamma-ray line",astronomy
"Intelligence literature, sometimes referred to as espionage nonfiction, is a genre of non-fiction or historical literature, written in any language, that focuses on the field of intelligence, also known as Espionage. This field of literature includes biographies and autobiographies of intelligence officers, historical research and analysis of intelligence operations and missions, studies of undercover work, policy and legal studies surrounding the fields of intelligence law, intelligence history, and national security law, academic and professional journals, essays, textbooks, and more.",literature
"The region of Palestine is part of the wider region of the Levant, which represents the land bridge between Africa and Eurasia. The areas of the Levant traditionally serve as the ""crossroads of Western Asia, the Eastern Mediterranean, and Northeast Africa"", and in tectonic terms are located in the ""northwest of the Arabian Plate"".",history
"Over the last two decades epidermal growth factor receptor (EGFR) kinase has become an important target to treat non-small cell lung cancer (NSCLC). Currently, three generations of EGFR kinase-targeted small molecule drugs have been FDA approved. They nominally produce a response at the start of treatment and lead to a substantial survival benefit for patients. However, long-term treatment results in acquired drug resistance and further vulnerability to NSCLC. Therefore, novel EGFR kinase inhibi",microbiology
